old,new
Chinese Logotype (Flat) on Dark,1-negative-zh-session
Chinese Logotype (Flat) on Light,1-standard-zh-session
Chinese Logotype (No Session) (Flat) on Dark,1-negative-zh
Chinese Logotype (No Session) (Flat) on Light,1-standard-zh
Chinese Logotype (No Session) (Upright) on Dark,2-negative-zh
Chinese Logotype (No Session) (Upright) on Light,2-standard-zh
Chinese Logotype (Upright) on Dark,2-negative-zh-session
Chinese Logotype (Upright) on Light,2-standard-zh-session
Combined Logotype  (No Session) (Upright) on Light,2-standard-bi
Combined Logotype (Flat) on Dark,1-negative-bi-session
Combined Logotype (Flat) on Light,1-standard-bi-session
Combined Logotype (No Session) (Flat) on Light,1-standard-bi
Combined Logotype (Upright) on Dark,2-negative-bi-session
Combined Logotype (Upright) on Light,2-standard-bi-session
English Logotype (Flat) on Dark,1-negative-en-session
English Logotype (Flat) on Light,1-standard-en-session
English Logotype (No Session) (Flat) on Dark,1-negative-en
English Logotype (No Session) (Flat) on Light,1-standard-en
English Logotype (No Session) (Upright) on Dark,2-negative-en
English Logotype (No Session) (Upright) on Light,2-standard-en
English Logotype (Upright) on Dark,2-negative-en
English Logotype (Upright) on Light,2-standard-en
Greyscale Chinese Logotype (Flat) on Dark,1-greyscale_negative-zh-session
Greyscale Chinese Logotype (Flat) on Light,1-greyscale-zh-session
Greyscale Chinese Logotype (No Session) (Flat) on Dark,1-greyscale_negative-zh
Greyscale Chinese Logotype (No Session) (Flat) on Light,1-greyscale-zh
Greyscale Chinese Logotype (No Session) (Upright) on Dark,2-greyscale_negative-zh
Greyscale Chinese Logotype (No Session) (Upright) on Light,2-greyscale-zh
Greyscale Chinese Logotype (Upright) on Dark,2-greyscale_negative-zh-session
Greyscale Chinese Logotype (Upright) on Light,2-greyscale-zh-session
Greyscale Combined Logotype (Flat) on Light,2-greyscale-standard-bi-session
Greyscale Combined Logotype (Upright) on Light,2-greyscale-standard-bi-session
Greyscale English Logotype (Flat) on Dark,1-greyscale-negative-en-session
Greyscale English Logotype (Flat) on Light,1-greyscale-en-session
Greyscale English Logotype (No Session) (Flat) on Dark,1-greyscale-negative-en
Greyscale English Logotype (No Session) (Flat) on Light,1-greyscale-en
Greyscale English Logotype (No Session) (Upright) on Dark,2-greyscale-negative-en
Greyscale English Logotype (No Session) (Upright) on Light,2-greyscale-en
Greyscale English Logotype (Upright) on Dark,2-greyscale-negative-en-session
Greyscale English Logotype (Upright) on Light,2-greyscale-en-session
Greyscale Logo on Dark,globe-greyscale_negative
Greyscale Logo on Light,globe-greyscale
Logo on Dark,globe-negative
Logo on Light,globe-standard
Monochromatic Chinese Logotype (Flat),1-monochrome-zh-session
Monochromatic Chinese Logotype (No Session) (Flat),1-monochrome-zh
Monochromatic Chinese Logotype (No Session) (Upright),2-monochrome-zh
Monochromatic Chinese Logotype (Upright),2-monochrome-zh-session
Monochromatic Combined Logotype (Flat),1-monochrome-bi-session
Monochromatic Combined Logotype (Upright),2-monochrome-bi-session
Monochromatic English Logotype (Flat),1-monochrome-en-session
Monochromatic English Logotype (No Session) (Flat),1-monochrome-en
Monochromatic English Logotype (No Session) (Upright),2-monochrome-en
Monochromatic English Logotype (Upright),2-monochrome-en-session
Social Media,social_media_avatar
